sensitivity_type,detector,seed,equal_bins_per_dimension,bins_per_dimension,minimum_samples_per_cell,confidence_floor,is_original_setting,detection_ece,detection_ece_defined,undefined_reason,total_detections_entering_calibration,baseline_floor_detection_count,detections_removed_from_baseline_floor,fraction_baseline_detections_retained,total_possible_multidimensional_cells,occupied_cells,cells_meeting_minimum_support,detections_in_supported_cells,fraction_detections_contributing_to_supported_cells,supported_cell_size_median,supported_cell_size_min,supported_cell_size_max
binning_minimum_support,yolo11s,137,5,5|5|5|5|5,16,0.001,False,0.03883620163515626,True,,394,394,0,1.0,3125,101,4,91,0.23096446700507614,21.5,17,31
binning_minimum_support,yolo11s,137,7,7|7|7|7|7,1,0.001,False,0.25083662363166365,True,,394,394,0,1.0,16807,166,166,394,1.0,1.0,1,17
binning_minimum_support,yolo11s,137,7,7|7|7|7|7,4,0.001,False,0.10946926051487216,True,,394,394,0,1.0,16807,166,26,196,0.49746192893401014,7.0,4,17
binning_minimum_support,yolo11s,137,7,7|7|7|7|7,8,0.001,False,0.06791241463955708,True,,394,394,0,1.0,16807,166,10,109,0.2766497461928934,11.0,8,17
binning_minimum_support,yolo11s,137,7,7|7|7|7|7,16,0.001,False,0.01206292705326743,True,,394,394,0,1.0,16807,166,1,17,0.04314720812182741,17.0,17,17
confidence_floor,yolo11s,137,5,5|5|5|5|5,8,0.001,True,0.1122666361229376,True,,394,394,0,1.0,3125,101,15,214,0.5431472081218274,12.0,8,31
confidence_floor,yolo11s,137,5,5|5|5|5|5,8,0.005,False,0.1042292274352981,True,,287,394,107,0.7284263959390863,3125,91,11,132,0.45993031358885017,10.0,8,25
confidence_floor,yolo11s,137,5,5|5|5|5|5,8,0.01,False,0.07566345575448859,True,,249,394,145,0.631979695431472,3125,87,8,87,0.3493975903614458,9.0,8,19
confidence_floor,yolo11s,137,5,5|5|5|5|5,8,0.05,False,0.06052591655887452,True,,177,394,217,0.44923857868020306,3125,77,4,38,0.21468926553672316,9.0,8,12
binning_minimum_support,yolo11s,271,3,3|3|3|3|3,1,0.001,False,0.14541665497482822,True,,962,962,0,1.0,243,21,21,962,1.0,12.0,1,159
binning_minimum_support,yolo11s,271,3,3|3|3|3|3,4,0.001,False,0.14539861802959028,True,,962,962,0,1.0,243,21,17,953,0.9906444906444907,17.0,4,159
